lookup_id,event_id,status,attend
100077,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
100137,90927b93-07cf-4d47-bc16-1e0da1bc5576,Will not attend,False
100233,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
100780,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
101092,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
101210,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
101495,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
101605,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
101804,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
101806,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
101927,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
101966,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
101989,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
101989,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
102320,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
102328,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
102537,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
102584,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
102633,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
102764,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
102824,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
102824,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True
102839,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
103051,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
103882,e929ea71-44ac-4fb1-b831-33a00fc649e7,Canceled,False
103949,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
104009,21327acb-aa7d-4000-9532-0a9c864addd3,Registered,False
104197,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
104695,90927b93-07cf-4d47-bc16-1e0da1bc5576,Registered,True
104728,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True
104760,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
104780,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
104822,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
105006,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True
105068,21327acb-aa7d-4000-9532-0a9c864addd3,Registered,False
105068,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
105156,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
105285,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
105451,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
105501,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
105674,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
105688,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Will not attend,False
105688,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True
105920,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
106051,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
106062,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
106106,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
106170,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
106188,90927b93-07cf-4d47-bc16-1e0da1bc5576,Registered,False
106249,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
106285,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
106354,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
106543,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
106547,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
106618,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
106632,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,False
106651,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
106676,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
106851,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,False
106891,90927b93-07cf-4d47-bc16-1e0da1bc5576,Canceled,False
106891,e929ea71-44ac-4fb1-b831-33a00fc649e7,Canceled,False
106995,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
107042,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
107212,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
107297,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
107368,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True
107401,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,False
107411,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
107411,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
107440,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
108202,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
108262,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
108269,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
108594,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
108947,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
109147,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
109243,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
109258,90927b93-07cf-4d47-bc16-1e0da1bc5576,Registered,True
109617,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
109621,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
109626,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True
109663,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
109706,90927b93-07cf-4d47-bc16-1e0da1bc5576,Registered,True
109706,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
109927,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True
110158,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
110180,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
110239,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
110367,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
110367,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,False
110436,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
110590,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
110711,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
110720,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
110890,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
110956,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True
110974,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
111063,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
111167,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
111190,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
111463,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
111466,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True
111483,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
111483,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
111579,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
111650,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
111861,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False
111875,90927b93-07cf-4d47-bc16-1e0da1bc5576,Registered,True
111875,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True
112126,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True
