lookup_id,status,attend,event_id
100077,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100137,Will not attend,No,90927b93-07cf-4d47-bc16-1e0da1bc5576
100233,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
100780,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
101092,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
101210,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
101495,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
101605,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
101804,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
101806,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
101927,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
101966,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
101989,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
101989,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
102320,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
102328,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
102537,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
102584,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
102633,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
102764,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
102824,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
102824,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
102839,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
103051,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
103882,Canceled,No,e929ea71-44ac-4fb1-b831-33a00fc649e7
103949,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
104009,Registered,No,21327acb-aa7d-4000-9532-0a9c864addd3
104197,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
104695,Registered,Yes,90927b93-07cf-4d47-bc16-1e0da1bc5576
104728,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
104760,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
104780,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
104822,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
105006,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
105068,Registered,No,21327acb-aa7d-4000-9532-0a9c864addd3
105068,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
105156,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
105285,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
105451,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
105501,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
105674,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
105688,Will not attend,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
105688,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
105920,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106051,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106062,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106106,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106170,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106188,Registered,No,90927b93-07cf-4d47-bc16-1e0da1bc5576
106249,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106285,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106354,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106543,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106547,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106618,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106632,Registered,No,688982c6-4e8f-4b40-8987-d004710a4de7
106651,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106676,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
106851,Registered,No,688982c6-4e8f-4b40-8987-d004710a4de7
106891,Canceled,No,90927b93-07cf-4d47-bc16-1e0da1bc5576
106891,Canceled,No,e929ea71-44ac-4fb1-b831-33a00fc649e7
106995,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
107042,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
107212,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
107297,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
107368,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
107401,Registered,No,688982c6-4e8f-4b40-8987-d004710a4de7
107411,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
107411,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
107440,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
108202,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
108262,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
108269,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
108594,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
108947,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
109147,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
109243,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
109258,Registered,Yes,90927b93-07cf-4d47-bc16-1e0da1bc5576
109617,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
109621,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
109626,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
109663,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
109706,Registered,Yes,90927b93-07cf-4d47-bc16-1e0da1bc5576
109706,Registered,Yes,688982c6-4e8f-4b40-8987-d004710a4de7
109927,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
110158,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
110180,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
110239,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
110367,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
110367,Registered,No,688982c6-4e8f-4b40-8987-d004710a4de7
110436,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
110590,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
110711,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
110720,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
110890,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
110956,Registered,Yes,e929ea71-44ac-4fb1-b831-33a00fc649e7
110974,Registered,Yes,1787f3e1-3315-485a-95d7-1da21ed4ddb9
111063,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
111167,Registered,No,1787f3e1-3315-485a-95d7-1da21ed4ddb9
